player,during_hot,next_game_stat,regression,next_opp,next_location,opp_def_tier,opp_3p_pct_allowed,opp_pace,minutes_trend,was_blowout_recent
Desmond Bane,4.333333333333333,2.0,2.333333333333333,POR,away,Mid (11-20),0.361,99.51,0.40579710144927716,False
Desmond Bane,4.333333333333333,2.0,2.333333333333333,LAC,away,Elite (top 10),0.35,98.24,3.7391304347826058,False
Desmond Bane,4.333333333333333,3.0,1.333333333333333,DEN,away,Bad (21-30),0.365,100.67,2.0724637681159415,False
Devin Vassell,4.333333333333333,3.0,1.333333333333333,DAL,home,Mid (11-20),0.363,100.15,3.0,True
Devin Vassell,4.333333333333333,4.0,0.33333333333333304,CLE,away,Mid (11-20),0.359,100.31,2.0,False
Devin Vassell,4.333333333333333,4.0,0.33333333333333304,BOS,home,Elite (top 10),0.347,96.59,2.0,False
Devin Vassell,4.666666666666667,2.0,2.666666666666667,GSW,home,Mid (11-20),0.363,99.37,4.666666666666664,False
Dillon Brooks,4.333333333333333,3.0,1.333333333333333,DAL,home,Mid (11-20),0.363,100.15,5.16,False
Dillon Brooks,4.666666666666667,3.0,1.666666666666667,MEM,away,Mid (11-20),0.36,103.69,3.16,False
Dillon Brooks,5.333333333333333,2.0,3.333333333333333,BKN,home,Mid (11-20),0.362,96.73,2.16,False
Donovan Mitchell,5.333333333333333,7.0,-1.666666666666667,CHI,home,Elite (top 10),0.344,103.61,3.2582159624413123,False
Donovan Mitchell,6.333333333333333,3.0,3.333333333333333,BOS,away,Elite (top 10),0.347,96.59,2.9248826291079837,False
Donovan Mitchell,5.333333333333333,5.0,0.33333333333333304,CHA,away,Elite (top 10),0.355,98.22,0.591549295774648,True
Donovan Mitchell,5.666666666666667,2.0,3.666666666666667,DAL,away,Mid (11-20),0.363,100.15,-1.7417840375586842,False
Donte DiVincenzo,4.666666666666667,2.0,2.666666666666667,OKC,away,Elite (top 10),0.342,100.9,6.112903225806452,True
Donte DiVincenzo,5.0,3.0,2.0,LAL,away,Elite (top 10),0.356,98.34,8.779569892473116,False
Donte DiVincenzo,5.0,4.0,1.0,PHI,home,Bad (21-30),0.378,98.13,-0.5537634408602159,True
Donte DiVincenzo,5.333333333333333,4.0,1.333333333333333,CHA,away,Elite (top 10),0.355,98.22,-0.5537634408602159,False
