player,during_hot,next_game_stat,regression,next_opp,next_location,opp_def_tier,opp_3p_pct_allowed,opp_pace,minutes_trend,was_blowout_recent,season_avg,your_fair_line,naive_line,actual_outcome,distance_to_yours,distance_to_naive,your_line_wins,volume_tier,minutes_trend_bucket
Buddy Hield,5.666666666666667,3.0,2.666666666666667,WAS,away,Mid (11-20),0.364,101.82,7.23170731707317,False,2.48,2.48,5.666666666666667,3.0,0.52,2.666666666666667,True,High (5+ 3PA/g),Minutes UP (>+2)
Caleb Martin,3.333333333333333,1.0,2.333333333333333,UTA,away,Mid (11-20),0.358,100.85,4.266666666666666,False,0.82,0.82,3.333333333333333,1.0,0.18000000000000005,2.333333333333333,True,Low (2-3 3PA/g),Minutes UP (>+2)
Caleb Martin,3.6666666666666665,1.0,2.6666666666666665,POR,away,Mid (11-20),0.361,99.51,6.599999999999998,False,0.82,0.82,3.6666666666666665,1.0,0.18000000000000005,2.6666666666666665,True,Low (2-3 3PA/g),Minutes UP (>+2)
Caleb Martin,3.0,2.0,1.0,SAC,away,Bad (21-30),0.381,98.91,10.26666666666667,True,0.82,0.82,3.0,2.0,1.1800000000000002,1.0,False,Low (2-3 3PA/g),Minutes UP (>+2)
Cam Whitmore,3.0,2.0,1.0,DEN,away,Bad (21-30),0.365,100.67,1.7450980392156872,False,1.27,1.27,3.0,2.0,0.73,1.0,True,Medium (3-5 3PA/g),Stable (±2)
Cameron Johnson,6.333333333333333,3.0,3.333333333333333,SAC,away,Bad (21-30),0.381,98.91,3.4210526315789487,False,2.79,2.79,6.333333333333333,3.0,0.20999999999999996,3.333333333333333,True,High (5+ 3PA/g),Minutes UP (>+2)
Cameron Johnson,6.0,1.0,5.0,GSW,away,Mid (11-20),0.363,99.37,4.421052631578949,False,2.79,2.79,6.0,1.0,1.79,5.0,True,High (5+ 3PA/g),Minutes UP (>+2)
Cameron Payne,2.6666666666666665,5.0,-2.333333333333333,WAS,home,Mid (11-20),0.364,101.82,2.541666666666668,False,1.29,1.29,2.6666666666666665,5.0,3.71,2.3333333333333335,False,Medium (3-5 3PA/g),Minutes UP (>+2)
Cameron Payne,3.333333333333333,2.0,1.3333333333333337,PHX,away,Bad (21-30),0.37,98.31,4.541666666666668,True,1.29,1.29,3.333333333333333,2.0,0.71,1.333333333333333,True,Medium (3-5 3PA/g),Minutes UP (>+2)
Cameron Payne,3.333333333333333,3.0,0.3333333333333335,UTA,away,Mid (11-20),0.358,100.85,6.875,False,1.29,1.29,3.333333333333333,3.0,1.71,0.33333333333333304,False,Medium (3-5 3PA/g),Minutes UP (>+2)
